Hierarchy Path,Name,Image Link,Description,Level
Indoor Signs,Indoor Signs,,,1 - Main Category
Indoor Signs > Office Signs,Office Signs,https://signsny.com/wp-content/uploads/2025/07/Office-Signs.jpg.webp,"Professional signs that make your office easy to navigate and give every room a clear identity—ideal for nameplates, departments, and meeting rooms.",2 - Sub Category
Indoor Signs > Metal Letters,Metal Letters,https://signsny.com/wp-content/uploads/2024/11/the-sports-center-chelsea-piers-metal-letters.jpg.webp,"Durable and sleek, metal letters add a polished look to your brand. Great for indoor lobbies or building exteriors where you want to stand out.",2 - Sub Category
Indoor Signs > Metal Letters > Aluminum,Aluminum,https://signsny.com/wp-content/uploads/2025/10/Aluminum.jpg,"Available thickness: 1/8"" - 3/16"" - 1/4"" - 3/8"" and thicker",3 - Mini Category
Indoor Signs > Metal Letters > Stainless Steel,Stainless Steel,https://signsny.com/wp-content/uploads/2025/10/Stainless-Steel.jpg,"Available thickness: 1/8"" - 3/16"" - 1/4"" - 3/8"" and thicker",3 - Mini Category
Indoor Signs > Metal Letters > Brass,Brass,https://signsny.com/wp-content/uploads/2025/10/Brass.jpg,"Available thickness: 1/8"" - 3/16"" - 1/4"" - 3/8"" and thicker",3 - Mini Category
Indoor Signs > Metal Letters > Bronze,Bronze,https://signsny.com/wp-content/uploads/2025/10/Bronze.jpg,"Available thickness: 1/8"" - 3/16"" - 1/4"" - 3/8"" and thicker",3 - Mini Category
Indoor Signs > Metal Letters > Copper,Copper,https://signsny.com/wp-content/uploads/2025/10/Copper.jpg,"Available thickness: 1/8"" - 3/16"" - 1/4"" - 3/8"" and thicker",3 - Mini Category
Indoor Signs > Metal Letters > Brushed Aluminum,Brushed Aluminum,https://signsny.com/wp-content/uploads/2024/11/castmetal-aluminum-brushed.jpg,"Letter height: 1/2"" - 48"" Custom color option available",3 - Mini Category
Indoor Signs > Metal Letters > Polish Aluminum,Polish Aluminum,https://signsny.com/wp-content/uploads/elementor/thumbs/polish-aluminum-rix5cuajpoeaaq9kywewm4ctcwnjhb9zvr66unpinm.jpg,"Letter height: 1/2"" - 48"" Custom color option available",3 - Mini Category
Indoor Signs > Metal Letters > Gold Anodized,Gold Anodized,https://signsny.com/wp-content/uploads/2024/11/gold-anodized.jpg,"Letter height: 1/2"" - 48"" Custom color option available",3 - Mini Category
Indoor Signs > Metal Letters > Black Anodized,Black Anodized,https://signsny.com/wp-content/uploads/2024/11/black-anodized.jpg,"Letter height: 1/2"" - 48"" Custom color option available",3 - Mini Category
Indoor Signs > Metal Letters > Clear Anodized,Clear Anodized,https://signsny.com/wp-content/uploads/2024/11/faux-patina.jpg,"Letter height: 1/2"" - 48"" Custom color option available",3 - Mini Category
Indoor Signs > Metal Letters > Raceway mounts,Raceway mounts,https://signsny.com/wp-content/uploads/2025/10/plain-mounting.jpg,,3 - Mini Category
Indoor Signs > Metal Letters > Standoff,Standoff,https://signsny.com/wp-content/uploads/2025/10/double-face-tape-mounting.jpg,,3 - Mini Category
Indoor Signs > Metal Letters > Stud,Stud,https://signsny.com/wp-content/uploads/2025/10/stud-w-block-mounting.jpg,,3 - Mini Category
Indoor Signs > Metal Letters > Flush,Flush,https://signsny.com/wp-content/uploads/2025/10/flush-stud-mounting.jpg,,3 - Mini Category
Indoor Signs > Metal Plaques,Metal Plaques,https://signsny.com/wp-content/uploads/2025/02/what-are-metal-plaques.jpg.webp,"Elegant and long-lasting, these plaques are perfect for commemorating achievements, marking offices, or giving your space a premium look.",2 - Sub Category
Indoor Signs > Metal Plaques > Precision Plaques,Precision Plaques,https://signsny.com/wp-content/uploads/2024/12/cast-and-precision-plaques.jpg,"Precision tooled plaques offer clean raised and recessed details with sharp edges and refined finishing. They are often used when the plaque needs a formal, dimensional look with controlled detail.",3 - Mini Category
Indoor Signs > Metal Plaques > Cast Metal Plaques,Cast Metal Plaques,https://signsny.com/wp-content/uploads/2026/07/cast-metal-plaques.jpg,"Cast plaques are made with raised lettering, borders and graphics with recessed background areas. They are a strong choice for memorial plaques, dedication plaques, historic plaques, building plaques and exterior markers.",3 - Mini Category
Indoor Signs > Metal Plaques > Etched Metal Plaques,Etched Metal Plaques,https://signsny.com/wp-content/uploads/2024/12/etched-metal-plaques.jpg,"Etched plaques are useful when the design includes fine text, detailed logos, line art, seals, portraits or donor information. Etching creates recessed details that can be filled with color for contrast and readability.",3 - Mini Category
Indoor Signs > Metal Plaques > Bronze Plaques,Bronze Plaques,https://signsny.com/wp-content/uploads/2025/02/r4-bronze.jpeg,"Traditional and formal, ideal for memorial, dedication and exterior plaques with raised lettering or borders.",3 - Mini Category
